Incident Date,State,City Or County,# Killed,# Injured,Code
2014-01-01,Virginia,Norfolk,2,2,VA
2014-01-03,New York,Queens,1,3,NY
2014-01-05,Pennsylvania,Erie,1,3,PA
2014-01-11,Mississippi,Jackson,0,4,MS
2014-01-12,Louisiana,Tallulah,0,6,LA
2014-01-12,Alabama,Huntsville,0,5,AL
2014-01-12,Illinois,Elgin,0,5,IL
2014-01-13,Michigan,Detroit,0,4,MI
2014-01-14,California,Los Angeles,0,4,CA
2014-01-16,Utah,Spanish Fork,5,0,UT
2014-01-16,Oklahoma,Ardmore,2,4,OK
2014-01-20,Virginia,Manassas,0,4,VA
2014-01-21,New Jersey,Newark,2,3,NJ
2014-01-25,Florida,Belle Glade,0,4,FL
2014-01-25,Illinois,Chicago,1,4,IL
2014-01-27,Washington,Seattle,1,4,WA
2014-01-27,North Carolina,Rocky Mount,0,4,NC
2014-02-03,Indiana,Franklin,3,2,IN
2014-02-05,Illinois,Chicago,1,3,IL
2014-02-06,Louisiana,New Orleans,0,4,LA
2014-02-07,Florida,Miami,0,5,FL
2014-02-12,Indiana,Gary,0,5,IN
2014-02-12,California,Oakland,1,3,CA
2014-02-12,California,Stockton,1,3,CA
2014-02-15,Nevada,Las Vegas,0,5,NV
2014-02-16,Florida,Orlando (Pine Hills),1,6,FL
2014-02-16,Florida,Jacksonville,1,4,FL
2014-02-16,Indiana,Fort Wayne,0,5,IN
2014-02-16,Texas,Fort Worth,1,4,TX
2014-02-16,Texas,Dallas,1,7,TX
2014-02-20,California,Alturas,4,2,CA
2014-02-20,Indiana,Indianapolis,4,0,IN
2014-02-22,California,Wilmington,0,4,CA
2014-02-25,Virginia,Glade Spring,4,1,VA
2014-03-01,Michigan,Detroit,0,4,MI
2014-03-01,Pennsylvania,Pittsburgh,1,4,PA
2014-03-05,South Carolina,Pelzer,3,1,SC
2014-03-08,Illinois,Chicago,0,6,IL
2014-03-08,California,Richmond,1,3,CA
2014-03-09,Texas,Austin,0,6,TX
2014-03-09,Ohio,Fremont,3,1,OH
2014-03-14,New York,Brooklyn,0,4,NY
2014-03-16,Texas,Beaumont,3,1,TX
2014-03-16,Georgia,Waynesboro,0,4,GA
2014-03-21,South Carolina,North Charleston,0,4,SC
2014-03-23,Texas,Arlington,1,3,TX
2014-03-23,California,Long Beach,1,3,CA
2014-03-23,California,San Francisco,0,7,CA
2014-03-30,Mississippi,Starkville,0,5,MS
2014-03-30,North Carolina,Charlotte,0,5,NC
2014-04-02,Texas,Fort Hood,4,16,TX
2014-04-05,California,Fairfield,0,4,CA
2014-04-05,Arizona,Phoenix,1,3,AZ
2014-04-05,Illinois,Chicago,1,5,IL
2014-04-06,Oklahoma,Oklahoma City,0,4,OK
2014-04-06,Massachusetts,Springfield,0,4,MA
2014-04-07,Louisiana,New Orleans,0,4,LA
2014-04-09,Tennessee,Lookout Valley,3,1,TN
2014-04-09,Illinois,Rockford,0,5,IL
2014-04-11,Indiana,Richmond,0,4,IN
2014-04-12,Louisiana,New Orleans,1,3,LA
2014-04-14,District of Columbia,Washington,0,4,DC
2014-04-20,Illinois,Montgomery,0,6,IL
2014-04-20,Illinois,Chicago,0,5,IL
2014-04-20,Florida,Tampa,2,2,FL
2014-04-22,California,Los Angeles,1,3,CA
2014-04-25,Tennessee,Memphis,2,3,TN
2014-04-27,New York,Troy,0,5,NY
2014-04-29,Georgia,Kennesaw,1,6,GA
2014-04-30,Illinois,Chicago,0,4,IL
2014-05-03,Arkansas,Jonesboro,4,4,AR
2014-05-04,Colorado,Wheat Ridge,0,4,CO
2014-05-04,Illinois,Chicago,1,3,IL
2014-05-10,Georgia,Stone Mountain,1,3,GA
2014-05-10,California,Sacramento,1,6,CA
2014-05-10,Georgia,Decatur,2,3,GA
2014-05-11,Tennessee,Memphis,0,7,TN
2014-05-12,Illinois,Chicago,0,4,IL
2014-05-13,Georgia,Atlanta,0,5,GA
2014-05-17,California,Coachella,1,3,CA
2014-05-17,District of Columbia,Washington,0,5,DC
2014-05-18,Ohio,Sandusky,0,7,OH
2014-05-21,Texas,Dallas,1,3,TX
2014-05-23,California,Bellflower,2,2,CA
2014-05-23,California,Goleta (Isla Vista),4,8,CA
2014-05-23,Louisiana,New Orleans,1,7,LA
2014-05-24,South Carolina,Myrtle Beach,3,1,SC
2014-05-24,Michigan,Detroit,0,4,MI
2014-05-25,Ohio,Toledo,1,3,OH
2014-05-31,California,San Bernardino,1,3,CA
2014-06-01,California,Sacramento,0,4,CA
2014-06-01,Illinois,Chicago,1,5,IL
2014-06-02,Illinois,Chicago,0,7,IL
2014-06-03,Georgia,Atlanta,1,4,GA
2014-06-04,Illinois,Chicago,1,3,IL
2014-06-07,Michigan,Oak Park,1,3,MI
2014-06-07,South Carolina,Moncks Corner,1,5,SC
2014-06-08,Alabama,Opp,1,4,AL
2014-06-09,New Jersey,Paterson,0,6,NJ
2014-06-13,California,Los Angeles,3,1,CA
2014-06-15,Illinois,Park Forest,0,4,IL
2014-06-15,Indiana,Kokomo,0,4,IN
2014-06-20,Maryland,Seat Pleasant,0,4,MD
2014-06-21,District of Columbia,Washington,0,4,DC
2014-06-21,Tennessee,Memphis,0,5,TN
2014-06-22,California,Windsor,1,3,CA
2014-06-24,Florida,Miami,2,7,FL
2014-06-25,Massachusetts,Lowell,0,5,MA
2014-06-26,Michigan,Detroit,2,2,MI
2014-06-26,Wisconsin,Milwaukee,0,5,WI
2014-06-27,California,San Diego,1,3,CA
2014-06-28,New York,Manhattan,0,4,NY
2014-06-28,California,Antioch,0,7,CA
2014-06-29,California,Los Angeles,1,5,CA
2014-06-29,Missouri,Saint Louis,0,4,MO
2014-06-29,Louisiana,New Orleans,1,9,LA
2014-06-30,Kentucky,Lexington,1,3,KY
2014-07-02,Pennsylvania,Chester,0,5,PA
2014-07-04,Virginia,Norfolk,0,5,VA
2014-07-05,Texas,Houston,0,6,TX
2014-07-05,Virginia,Norfolk,0,7,VA
2014-07-05,Indiana,Indianapolis,0,7,IN
2014-07-05,Illinois,Centreville,0,5,IL
2014-07-05,Oregon,Portland,1,4,OR
2014-07-06,New York,Buffalo,0,4,NY
2014-07-06,Missouri,Saint Louis,0,4,MO
2014-07-06,Florida,Miami,2,2,FL
2014-07-07,California,San Bernardino,1,4,CA
2014-07-07,Kentucky,Stopover,0,4,KY
2014-07-08,Rhode Island,Providence,0,5,RI
2014-07-09,Texas,Spring,6,1,TX
2014-07-11,Illinois,Chicago,1,3,IL
2014-07-12,California,Pasadena,3,2,CA
2014-07-13,Connecticut,Stamford,0,5,CT
2014-07-13,District of Columbia,Washington,0,4,DC
2014-07-13,Washington,Skyway,0,5,WA
